NUTS2	t	0	1	2	3	4	
FR52	18	0.0080717489	0.0125560538	0.9721973094	0	0.0071748879
FR53	18	0.0067114094	0.0156599553	0.970917226	0	0.0067114094
FR61	18	0.0079681275	0.0109561753	0.9750996016	0	0.0059760956
FR62	18	0.0020768432	0.0072689512	0.9906542056	0	0
FR71	18	0.0276923077	0.0332307692	0.9323076923	0.0018461538	0.0049230769
FR72	18	0.0101010101	0.0043290043	0.9711399711	0	0.0144300144
FR81	18	0.0166666667	0.0375	0.9444444444	0	0.0013888889
FR82	18	0.0069444444	0.0305555556	0.9611111111	0.0013888889	0
FR10	21	0.0237933379	0.0261726717	0.9415363698	0.002039429	0.0064581917
FR21	21	0.0613090307	0.0182270091	0.9055509528	0.0049710025	0.009942005
FR24	21	0.0189393939	0.0277777778	0.946969697	0	0.0063131313
FR26	21	0.0193452381	0.037202381	0.9181547619	0.0148809524	0.0104166667
FR30	21	0.1183611533	0.0280728376	0.8353566009	0.0037936267	0.0144157815
FR42	21	0.006741573	0.2179775281	0.7573033708	0.008988764	0.008988764
FR51	21	0.0038167939	0.0203562341	0.9720101781	0	0.0038167939
FR52	21	0.011299435	0.0217917676	0.9612590799	0.0008071025	0.004842615
FR53	21	0.0102459016	0.0143442623	0.9713114754	0	0.0040983607
FR61	21	0.0076335878	0.0114503817	0.9783715013	0.0012722646	0.0012722646
FR62	21	0.0143171806	0.0121145374	0.968061674	0	0.0055066079
FR71	21	0.013897281	0.0271903323	0.9474320242	0.0006042296	0.0108761329
FR72	21	0.0055452865	0.0055452865	0.9833641405	0	0.0055452865
FR81	21	0.0240963855	0.0210843373	0.9427710843	0	0.0120481928
FR82	21	0.03187251	0.0390438247	0.9203187251	0.0007968127	0.0079681275
FR10	24	0.0240029542	0.0369276219	0.9242983752	0.0025849335	0.0121861152
FR21	24	0.055331992	0.0120724346	0.9245472837	0.0050301811	0.0030181087
FR24	24	0.0123609394	0.0271940667	0.955500618	0	0.0049443758
FR26	24	0.0157068063	0.0353403141	0.9476439791	0	0.0013089005
FR30	24	0.1362275449	0.0501497006	0.7956586826	0.003742515	0.0142215569
FR42	24	0.0072886297	0.2682215743	0.7142857143	0.0072886297	0.0029154519
FR51	24	0.0186791194	0.0173448966	0.9546364243	0.0013342228	0.0080053369
FR52	24	0.1012048193	0.0168674699	0.8698795181	0.0024096386	0.0096385542
FR53	24	0.0107142857	0.025	0.9607142857	0.0023809524	0.0011904762
FR61	24	0.0124223602	0.0207039337	0.9606625259	0	0.0062111801
FR62	24	0.0169491525	0.0144067797	0.9601694915	0.0008474576	0.0076271186
FR71	24	0.0168010753	0.0215053763	0.9529569892	0.000672043	0.0080645161
FR72	24	0.0040268456	0.0228187919	0.966442953	0.0040268456	0.0026845638
FR81	24	0.0072405471	0.0120675784	0.979082864	0.0008045052	0.0008045052
FR82	24	0.0164930556	0.0399305556	0.9227430556	0.0052083333	0.015625
FR10	30	0.0232323232	0.0383838384	0.9259259259	0.0023569024	0.0101010101
FR21	30	0.0301094891	0.0310218978	0.9306569343	0.0027372263	0.0054744526
FR24	30	0.0390334572	0.0706319703	0.8782527881	0.0037174721	0.0083643123
FR26	30	0.0140664962	0.0383631714	0.9437340153	0	0.0038363171
FR30	30	0.1480865225	0.0274542429	0.8011647255	0.0091514143	0.0141430948
FR42	30	0.0318379161	0.2720694645	0.6830680174	0.00723589	0.005788712
FR51	30	0.0217948718	0.0166666667	0.9512820513	0	0.0102564103
FR52	30	0.0147058824	0.020361991	0.9581447964	0.0033936652	0.0033936652
FR53	30	0.0064585576	0.0430570506	0.9451022605	0	0.0053821313
